,Type,Text
1289,ham,Happy new year to u too!
1478,ham,Why you keeping me away like this
2876,ham,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
5263,ham,I absolutely LOVE South Park! I only recently started watching the office.
2141,ham,After the drug she will be able to eat.
1237,ham,How much are we getting?
3734,ham,Old Orchard near univ. How about you?
3152,ham,Yeah but which is worse for i
2650,ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
4318,ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN
4814,ham,i can call in  &lt;#&gt;  min if thats ok
5362,ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
2588,ham,"Aight, see you in a bit"
5476,ham,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
5538,ham,Aiyah ok wat as long as got improve can already wat...
3322,ham,Yo im right by yo work
394,ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
4410,spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP"""
3198,ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
2574,spam,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
2111,ham,Do we have any spare power supplies
2176,ham,I'm at work. Please call
4380,ham,How are you. Just checking up on you
876,spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
2664,spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
706,ham,"I don't think I can get away for a trek that long with family in town, sorry"
2814,ham,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly.."
5226,ham,"""OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX"""
1115,ham,No no:)this is kallis home ground.amla home town is durban:)
399,ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
5325,ham,Aah bless! How's your arm?
2401,ham,Hi! This is Roger from CL. How are you?
3605,ham,Hey morning what you come to ask:-) pa...
5553,ham,Wen did you get so spiritual and deep. That's great
5555,ham,Hahaha..use your brain dear
2338,ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
3482,ham,Wherre's my boytoy ? :-(
1420,ham,"""Speak only when you feel your words are better than the silence..."" Gud mrng:-)"
3554,ham,Din i tell u jus now 420
59,ham,Yes..gauti and sehwag out of odi series.
5118,ham,Thanks. Fills me with complete calm and reassurance!
2993,ham,K.i did't see you.:)k:)where are you now?
681,ham,What is this 'hex' place you talk of? Explain!
3999,spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
2353,ham,Thats cool. How was your day?
4131,ham,And by when you're done I mean now
2385,ham,"Sorry, I'll call later"
5505,ham,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
1475,ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
2512,ham,Er yep sure. Props?
1353,ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
173,ham,What time you coming down later?
2161,ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
498,ham,Some of them told accenture is not confirm. Is it true.
5084,ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-)
2213,ham,"This is one of the days you have a billion classes, right?"
806,ham,I dled 3d its very imp
81,ham,K. Did you call me just now ah?
5216,spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
3540,ham,What happen dear. Why you silent. I am tensed
1692,ham,I don't know but I'm raping dudes at poker
1217,spam,You have 1 new voicemail. Please call 08719181513.
3470,ham,All day working day:)except saturday and sunday..
3508,ham,"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt"
5053,ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
3953,ham,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit...
3221,ham,Its like that hotel dusk game i think. You solve puzzles in a area thing
664,ham,Leave it de:-). Start Prepare for next:-)..
2905,ham,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
1938,ham,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do."""
4722,ham,"Yup. Anything lor, if u dun wan it's ok..."
2419,ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala."
4205,ham,How are you enjoying this semester? Take care brother.
4950,ham,I am in bus on the way to calicut
1908,ham,ELLO BABE U OK?
2551,ham,Please sen :)my kind advice :-)please come here and try:-)
4701,spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
3767,ham,Yes.mum lookin strong:)
3546,ham,Thank You meet you monday
4102,spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd
1719,ham,"As in missionary hook up, doggy hook up, standing...|"
5081,ham,"""Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD.."
3383,ham,"Well, I meant as opposed to my drunken night of before"
3624,ham,"Damn, poor zac doesn't stand a chance"
1584,ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
4186,ham,I'm good. Have you registered to vote?
1047,ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here.."""
1781,spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
1543,ham,Now press conference da:)
2290,spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx
4548,ham,Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later.
346,ham,Gudnite....tc...practice going on
2642,spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
2660,ham,Ok...
3142,ham,Customer place i will call you
4746,spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
2687,ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no
5037,spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
3839,ham,Went to pay rent. So i had to go to the bank to authorise the payment.
707,ham,So when do you wanna gym harri
4300,ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
5304,ham,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.
2600,ham,"Gosh that , what a pain. Spose I better come then."
3837,ham,Then ü come n pick me at 530 ar?
4582,ham,Not course. Only maths one day one chapter with in one month we can finish.
2210,ham,"Hmm well, night night"
4658,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
3044,ham,Your bill at 3 is £33.65 so thats not bad!
1270,ham,"Tee hee. Off to lecture, cheery bye bye."
5043,spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
1271,ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
4976,ham,Yar... I tot u knew dis would happen long ago already.
441,ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
5471,ham,Ok lor.
5545,ham,U still havent got urself a jacket ah?
552,ham,"Hurry up, I've been weed-deficient for like three days"
3883,ham,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
428,ham,Any pain on urination any thing else?
2429,ham,She.s find. I sent you an offline message to know how anjola's now.
2261,spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
4870,ham,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.
666,ham,En chikku nange bakra msg kalstiya..then had tea/coffee?
1013,ham,I dunno they close oredi not... Ü v ma fan...
4227,ham,"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday."
4616,spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
1252,spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
4019,ham,"""GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI"""
2495,ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget"
2225,ham,"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor..."
3465,ham,My phone
5327,ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
4452,ham,"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."
2206,ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
4945,ham,Wrong phone! This phone! I answer this one but assume the other is people i don't well
1469,spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
1973,ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march … ish!
4884,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
1562,ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
536,ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
1646,ham,I.ll post her out l8r. In class
1883,ham,"Sorry, I can't help you on this."
3001,ham,Id onluy matters when getting on from offcampus
1423,spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
2675,ham,I am 6 ft. We will be a good combination!
1579,ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
2417,ham,"Could you not read me, my Love ? I answered you"
2147,ham,So can collect ur laptop?
179,ham,Text her. If she doesnt reply let me know so i can have her log in
5461,ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
3479,ham,I can ask around but there's not a lot in terms of mids up here
969,ham,Are you willing to go for aptitude class.
2989,ham,Do you still have the grinder?
1693,ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
135,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
903,ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
5328,ham,What makes you most happy?
2921,ham,"Thanx 4 the time we've spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
5554,ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
2216,ham,Prabha..i'm soryda..realy..frm heart i'm sory
780,ham,That means get the door
689,ham,Thanks love. But am i doing torch or bold.
2016,ham,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time
3900,ham,Ü mean it's confirmed... I tot they juz say oni... Ok then...
3792,spam,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)"
318,ham,"Not really dude, have no friends i'm afraid :("
5392,ham,Nt joking seriously i told
4947,ham,I'm already back home so no probably not
4702,ham,I liked the new mobile
2076,ham,Must come later.. I normally bathe him in da afternoon mah..
3179,ham,K k :-):-) then watch some films.
5138,ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
3646,spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
2077,ham,"Trust me. Even if isn't there, its there."
2422,ham,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.
3771,ham,Love it! The girls at the office may wonder why you are smiling but sore...
2025,ham,U having lunch alone? I now so bored...
5460,ham,"Sorry, I'll call later"
5501,ham,Now get step 2 outta the way. Congrats again.
5355,ham,Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...
3707,ham,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)
223,ham,"Sorry, I'll call later"
665,ham,Yes baby! We can study all the positions of the kama sutra ;)
3740,ham,Did you stitch his trouser
4384,ham,No need lar i go engin? Cos my sis at arts today...
2020,ham,From tomorrow onwards eve 6 to 3 work.
687,ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
934,ham,What time you think you'll have it? Need to know when I should be near campus
4611,ham,Just glad to be talking to you.
2445,ham,"Yes but i dont care! I need you bad, princess!"
567,ham,Oooh bed ridden ey? What are YOU thinking of?
2434,ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m."""
410,ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
4479,ham,I anything lor.
3423,spam,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly
942,ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
2710,ham,Sorry de i went to shop.
2510,ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
3840,ham,"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
3755,spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
2430,spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1
2219,ham,Nice talking to you! please dont forget my pix :) i want to see all of you...
1659,spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
5477,ham,Dhoni have luck to win some big title.so we will win:)
587,ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den..."
3454,ham,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna"
246,ham,Too late. I said i have the website. I didn't i have or dont have the slippers
4489,ham,Call me when you get the chance plz &lt;3
1228,ham,So ü'll be submitting da project tmr rite?
4177,ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
775,ham,Just sleeping..and surfing
5313,ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
171,ham,"Sir, I need AXIS BANK account no and bank address."
1142,spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
4907,ham,Will you come online today night
5112,spam,You have 1 new message. Please call 08715205273
162,ham,New car and house for my parents.:)i have only new job in hand:)
960,ham,Where @
3020,ham,Wat time do u wan 2 meet me later?
1766,ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
3982,ham,Huh i cant thk of more oredi how many pages do we have?
3949,ham,I like to think there's always the possibility of being in a pub later.
5004,spam,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16
2948,ham,Leave it. U will always be ignorant.
2878,ham,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat
1062,ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.
2116,ham,Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;
481,ham,"Almost there, see u in a sec"
2485,ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
3633,ham,Oooh I got plenty of those!
5339,ham,My birthday is on feb  &lt;#&gt;  da. .
4390,ham,"K I'm ready,  &lt;#&gt; ?"
4363,ham,"I can't right this second, gotta hit people up first"
5348,ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
663,ham,Sorry me going home first... Daddy come fetch ü later...
3992,ham,I am on the way to ur home
3678,ham,Great! So what attracts you to the brothas?
1184,ham,Am i that much bad to avoid like this?
2015,ham,Ambrith..madurai..met u in arun dha marrge..remembr?
5054,ham,Lmao you know me so well...
5064,ham,Ok i also wan 2 watch e 9 pm show...
3931,ham,I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present.
5469,spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
4630,ham,Only saturday and sunday holiday so its very difficult:)
2632,spam,"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
542,ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
293,ham,Oops. 4 got that bit.
4830,ham,"How long before you get reply, just defer admission til next semester"
4742,ham,Many more happy returns of the day. I wish you happy birthday.
5363,ham,Yep get with the program. You're slacking.
4899,ham,Oh for fuck's sake she's in like tallahassee
3589,ham,If you were/are free i can give. Otherwise nalla adi entey nattil kittum
4977,ham,You are gorgeous! keep those pix cumming :) thank you!
5450,ham,"aight we can pick some up, you open before tonight?"
36,ham,"Oops, I'll let you know when my roommate's done"
1200,ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
2310,ham,"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?"
1724,ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur 'rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
1993,spam,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
4568,ham,But you were together so you should be thinkin about him
2110,ham,Lara said she can loan me  &lt;#&gt; .
3716,ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye."
4879,spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
702,ham,"Sorry, I'll call later"
4983,ham,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous
1896,ham,"Uh, heads up we don't have THAT much left"
940,ham,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
2487,ham,I dont thnk its a wrong calling between us
4688,ham,Eatin my lunch...
1340,ham,Every monday..nxt week vl be completing..
3292,ham,"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit"
2189,spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
5380,spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
3492,ham,Ok.
4396,ham,"Only just got this message, not ignoring you. Yes, i was. Shopping that is"
2564,ham,K..k..i'm also fine:)when will you complete the course?
3562,spam,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX
393,ham,Morning only i can ok.
2840,ham,"Easy mate, * guess the quick drink was bit ambitious."
540,ham,"I am in tirupur da, once you started from office call me."
4992,ham,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx"
1566,ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
1735,ham,"I think we're going to finn's now, come"
788,spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
790,ham,Gud mrng dear hav a nice day
717,spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
5179,ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u"
896,ham,"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)"
2309,spam,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow
1239,ham,"Dear relieved of westonzoyland, all going to plan this end too!"
2571,ham,From 5 to 2 only my work timing.
1665,ham,Ü v ma fan...
3371,ham,Most of the tiime when i don't let you hug me it's so i don't break into tears.
2713,ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
4704,ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
2753,ham,Sat right? Okay thanks...
4612,ham,Wat time ü finish?
2795,ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
3149,ham,"""CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUND'S LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX."""
781,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
4153,ham,What's nannys address?
2073,ham,That is wondarfull song
593,spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
2745,ham,"Tick, tick, tick ... Babe"
3747,ham,I'm not. She lip synced with shangela.
812,ham,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
937,ham,"Since when, which side, any fever, any vomitin."
517,spam,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE
5455,ham,Except theres a chick with huge boobs.
2945,spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.
3655,ham,Why i come in between you people
4605,ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!
4519,ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
2369,ham,If you r @ home then come down within 5 min
2702,ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
5001,ham,Well its not like you actually called someone a punto. That woulda been worse.
2566,ham,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.
5280,spam,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm
5524,ham,Thats cool. I want to please you...
970,ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
3544,ham,I'm e person who's doing e sms survey...
2529,ham,jay says he'll put in  &lt;#&gt;
2257,ham,"Just checked out, heading out to drop off my stuff now"
699,ham,Mum ask ü to buy food home...
1826,ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
3658,ham,Studying. But i.ll be free next weekend.
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
1906,ham,"There're some people by mu, I'm at the table by lambda"
4440,ham,i want to grasp your pretty booty :)
3404,ham,Good night my dear.. Sleepwell&amp;Take care
4465,ham,Ranjith cal drpd Deeraj and deepak 5min hold
4546,ham,Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...
2652,ham,"Text me when you get off, don't call, my phones having problems"
534,ham,I'll be late...
3459,ham,Have your lunch and come quickly and open the door:)
4031,ham,"Cool, I'll text you in a few"
2611,ham,"As usual..iam fine, happy &amp; doing well..:)"
